Disease,Gene,Drug,SMILES,SideEffect,TargetClass,Pathway,ApprovedForDisease
Parkinson's disease,Gene46,Carbidopa,SMILES430,SideEffect28,TargetClass11,Pathway12,1
Lung Cancer,Gene16,Gefitinib,SMILES216,SideEffect43,TargetClass7,Pathway11,1
Parkinson's disease,Gene60,Levodopa,SMILES187,SideEffect44,TargetClass8,Pathway10,1
Parkinson's disease,Gene3,Levodopa,SMILES93,SideEffect37,TargetClass9,Pathway11,1
COVID-19,Gene6,Remdesivir,SMILES24,SideEffect2,TargetClass8,Pathway9,1
Depression,Gene21,Sertraline,SMILES34,SideEffect49,TargetClass8,Pathway2,1
Alzheimer's disease,Gene54,Donepezil,SMILES178,SideEffect35,TargetClass15,Pathway4,1
Parkinson's disease,Gene72,Glipizide,SMILES471,SideEffect5,TargetClass7,Pathway3,0
Depression,Gene71,Glipizide,SMILES299,SideEffect47,TargetClass11,Pathway7,0
Lung Cancer,Gene85,Erlotinib,SMILES62,SideEffect49,TargetClass6,Pathway12,1
Alzheimer's disease,Gene90,Tamoxifen,SMILES220,SideEffect7,TargetClass12,Pathway3,0
Lung Cancer,Gene11,Erlotinib,SMILES143,SideEffect26,TargetClass11,Pathway7,1
Type 2 Diabetes,Gene53,Trastuzumab,SMILES332,SideEffect20,TargetClass14,Pathway5,0
Type 2 Diabetes,Gene20,Metformin,SMILES9,SideEffect11,TargetClass17,Pathway14,1
Depression,Gene53,Gefitinib,SMILES442,SideEffect37,TargetClass19,Pathway14,0
Parkinson's disease,Gene39,Carbidopa,SMILES54,SideEffect23,TargetClass16,Pathway3,1
Depression,Gene3,Sertraline,SMILES458,SideEffect38,TargetClass1,Pathway7,1
Depression,Gene83,Fluoxetine,SMILES349,SideEffect15,TargetClass10,Pathway4,1
Alzheimer's disease,Gene69,Molnupiravir,SMILES14,SideEffect26,TargetClass14,Pathway6,0
Type 2 Diabetes,Gene97,Metformin,SMILES279,SideEffect1,TargetClass12,Pathway12,1
COVID-19,Gene21,Remdesivir,SMILES102,SideEffect38,TargetClass14,Pathway3,1
Lung Cancer,Gene58,Tamoxifen,SMILES293,SideEffect49,TargetClass3,Pathway3,0
Parkinson's disease,Gene50,Carbidopa,SMILES37,SideEffect25,TargetClass13,Pathway3,1
Depression,Gene76,Fluoxetine,SMILES45,SideEffect33,TargetClass8,Pathway6,1
COVID-19,Gene1,Molnupiravir,SMILES295,SideEffect12,TargetClass8,Pathway8,1
Breast Cancer,Gene57,Erlotinib,SMILES415,SideEffect11,TargetClass11,Pathway8,0
Parkinson's disease,Gene36,Carbidopa,SMILES372,SideEffect18,TargetClass3,Pathway4,1
Lung Cancer,Gene61,Erlotinib,SMILES193,SideEffect1,TargetClass9,Pathway11,1
Lung Cancer,Gene63,Erlotinib,SMILES453,SideEffect7,TargetClass19,Pathway7,1
Type 2 Diabetes,Gene15,Carbidopa,SMILES388,SideEffect18,TargetClass11,Pathway9,0
Depression,Gene21,Fluoxetine,SMILES329,SideEffect28,TargetClass14,Pathway3,1
Parkinson's disease,Gene71,Carbidopa,SMILES18,SideEffect21,TargetClass1,Pathway3,1
COVID-19,Gene62,Donepezil,SMILES12,SideEffect29,TargetClass6,Pathway10,0
Type 2 Diabetes,Gene30,Metformin,SMILES438,SideEffect18,TargetClass12,Pathway11,1
Parkinson's disease,Gene21,Levodopa,SMILES8,SideEffect9,TargetClass14,Pathway1,1
Lung Cancer,Gene68,Trastuzumab,SMILES79,SideEffect20,TargetClass12,Pathway4,0
Parkinson's disease,Gene16,Levodopa,SMILES176,SideEffect34,TargetClass17,Pathway7,1
Parkinson's disease,Gene66,Carbidopa,SMILES335,SideEffect34,TargetClass4,Pathway6,1
Alzheimer's disease,Gene61,Memantine,SMILES273,SideEffect17,TargetClass2,Pathway14,1
Alzheimer's disease,Gene82,Memantine,SMILES162,SideEffect34,TargetClass10,Pathway3,1
Lung Cancer,Gene77,Erlotinib,SMILES101,SideEffect32,TargetClass13,Pathway11,1
Depression,Gene60,Sertraline,SMILES369,SideEffect2,TargetClass1,Pathway14,1
Alzheimer's disease,Gene30,Donepezil,SMILES458,SideEffect41,TargetClass6,Pathway3,1
Depression,Gene6,Fluoxetine,SMILES129,SideEffect8,TargetClass1,Pathway3,1
Alzheimer's disease,Gene21,Memantine,SMILES415,SideEffect47,TargetClass11,Pathway11,1
Type 2 Diabetes,Gene80,Metformin,SMILES445,SideEffect41,TargetClass4,Pathway1,1
Type 2 Diabetes,Gene27,Remdesivir,SMILES272,SideEffect45,TargetClass9,Pathway5,0
Type 2 Diabetes,Gene20,Metformin,SMILES81,SideEffect20,TargetClass19,Pathway3,1
Alzheimer's disease,Gene13,Memantine,SMILES428,SideEffect47,TargetClass7,Pathway11,1
Breast Cancer,Gene41,Tamoxifen,SMILES123,SideEffect15,TargetClass8,Pathway2,1
Breast Cancer,Gene8,Memantine,SMILES35,SideEffect21,TargetClass19,Pathway14,0
Breast Cancer,Gene65,Trastuzumab,SMILES487,SideEffect20,TargetClass6,Pathway13,1
Alzheimer's disease,Gene17,Memantine,SMILES91,SideEffect29,TargetClass11,Pathway7,1
Alzheimer's disease,Gene20,Donepezil,SMILES220,SideEffect22,TargetClass4,Pathway14,1
Type 2 Diabetes,Gene13,Metformin,SMILES97,SideEffect37,TargetClass6,Pathway1,1
Parkinson's disease,Gene59,Carbidopa,SMILES150,SideEffect6,TargetClass13,Pathway10,1
Breast Cancer,Gene15,Metformin,SMILES448,SideEffect36,TargetClass5,Pathway11,0
Type 2 Diabetes,Gene39,Metformin,SMILES452,SideEffect45,TargetClass17,Pathway8,1
Breast Cancer,Gene17,Tamoxifen,SMILES200,SideEffect32,TargetClass19,Pathway1,1
COVID-19,Gene3,Remdesivir,SMILES453,SideEffect19,TargetClass10,Pathway14,1
Breast Cancer,Gene38,Trastuzumab,SMILES38,SideEffect29,TargetClass9,Pathway4,1
Type 2 Diabetes,Gene73,Metformin,SMILES161,SideEffect26,TargetClass16,Pathway9,1
Type 2 Diabetes,Gene88,Metformin,SMILES143,SideEffect3,TargetClass2,Pathway7,1
Parkinson's disease,Gene25,Carbidopa,SMILES195,SideEffect32,TargetClass3,Pathway11,1
Depression,Gene82,Fluoxetine,SMILES431,SideEffect38,TargetClass7,Pathway1,1
Alzheimer's disease,Gene49,Memantine,SMILES407,SideEffect5,TargetClass5,Pathway7,1
Parkinson's disease,Gene1,Carbidopa,SMILES43,SideEffect40,TargetClass2,Pathway2,1
Parkinson's disease,Gene36,Carbidopa,SMILES373,SideEffect42,TargetClass18,Pathway3,1
Type 2 Diabetes,Gene94,Glipizide,SMILES48,SideEffect36,TargetClass4,Pathway2,1
Parkinson's disease,Gene68,Remdesivir,SMILES285,SideEffect7,TargetClass12,Pathway13,0
Lung Cancer,Gene76,Erlotinib,SMILES205,SideEffect39,TargetClass12,Pathway1,1
Type 2 Diabetes,Gene30,Metformin,SMILES249,SideEffect42,TargetClass1,Pathway10,1
Type 2 Diabetes,Gene40,Memantine,SMILES309,SideEffect14,TargetClass17,Pathway11,0
Alzheimer's disease,Gene43,Donepezil,SMILES338,SideEffect46,TargetClass9,Pathway5,1
Depression,Gene4,Sertraline,SMILES330,SideEffect1,TargetClass8,Pathway7,1
Alzheimer's disease,Gene12,Memantine,SMILES22,SideEffect18,TargetClass2,Pathway14,1
Depression,Gene68,Fluoxetine,SMILES464,SideEffect30,TargetClass12,Pathway14,1
Depression,Gene79,Sertraline,SMILES5,SideEffect49,TargetClass11,Pathway8,1
Type 2 Diabetes,Gene62,Glipizide,SMILES331,SideEffect25,TargetClass19,Pathway1,1
COVID-19,Gene77,Remdesivir,SMILES148,SideEffect49,TargetClass18,Pathway3,1
Breast Cancer,Gene4,Trastuzumab,SMILES259,SideEffect13,TargetClass2,Pathway13,1
Type 2 Diabetes,Gene53,Metformin,SMILES366,SideEffect15,TargetClass10,Pathway8,1
Lung Cancer,Gene56,Gefitinib,SMILES48,SideEffect19,TargetClass12,Pathway6,1
Breast Cancer,Gene37,Trastuzumab,SMILES179,SideEffect32,TargetClass13,Pathway12,1
Breast Cancer,Gene93,Glipizide,SMILES439,SideEffect49,TargetClass3,Pathway3,0
Type 2 Diabetes,Gene57,Erlotinib,SMILES334,SideEffect3,TargetClass1,Pathway7,0
Lung Cancer,Gene52,Erlotinib,SMILES162,SideEffect32,TargetClass3,Pathway10,1
Type 2 Diabetes,Gene96,Glipizide,SMILES25,SideEffect13,TargetClass6,Pathway6,1
Depression,Gene38,Sertraline,SMILES383,SideEffect29,TargetClass14,Pathway6,1
Parkinson's disease,Gene84,Carbidopa,SMILES365,SideEffect43,TargetClass19,Pathway6,1
COVID-19,Gene38,Molnupiravir,SMILES350,SideEffect45,TargetClass7,Pathway9,1
Alzheimer's disease,Gene32,Donepezil,SMILES492,SideEffect7,TargetClass5,Pathway4,1
Depression,Gene31,Fluoxetine,SMILES319,SideEffect43,TargetClass19,Pathway3,1
Breast Cancer,Gene75,Molnupiravir,SMILES466,SideEffect34,TargetClass7,Pathway9,0
Alzheimer's disease,Gene13,Donepezil,SMILES89,SideEffect42,TargetClass8,Pathway7,1
Alzheimer's disease,Gene84,Memantine,SMILES330,SideEffect9,TargetClass12,Pathway1,1
COVID-19,Gene62,Molnupiravir,SMILES43,SideEffect38,TargetClass11,Pathway3,1
Parkinson's disease,Gene10,Levodopa,SMILES485,SideEffect40,TargetClass13,Pathway1,1
Type 2 Diabetes,Gene37,Metformin,SMILES173,SideEffect42,TargetClass7,Pathway11,1
COVID-19,Gene70,Remdesivir,SMILES213,SideEffect45,TargetClass14,Pathway3,1
Breast Cancer,Gene78,Tamoxifen,SMILES198,SideEffect12,TargetClass16,Pathway1,1
Lung Cancer,Gene49,Gefitinib,SMILES98,SideEffect27,TargetClass12,Pathway3,1
Lung Cancer,Gene15,Sertraline,SMILES90,SideEffect24,TargetClass19,Pathway4,0
Breast Cancer,Gene73,Trastuzumab,SMILES460,SideEffect25,TargetClass5,Pathway5,1
Depression,Gene85,Sertraline,SMILES152,SideEffect42,TargetClass10,Pathway2,1
Parkinson's disease,Gene92,Levodopa,SMILES323,SideEffect20,TargetClass10,Pathway4,1
COVID-19,Gene34,Remdesivir,SMILES283,SideEffect7,TargetClass3,Pathway1,1
Alzheimer's disease,Gene86,Donepezil,SMILES189,SideEffect33,TargetClass5,Pathway6,1
Depression,Gene91,Erlotinib,SMILES158,SideEffect15,TargetClass7,Pathway10,0
Breast Cancer,Gene81,Trastuzumab,SMILES31,SideEffect34,TargetClass6,Pathway9,1
Lung Cancer,Gene5,Gefitinib,SMILES330,SideEffect39,TargetClass9,Pathway14,1
Depression,Gene86,Fluoxetine,SMILES44,SideEffect38,TargetClass4,Pathway7,1
Type 2 Diabetes,Gene94,Gefitinib,SMILES350,SideEffect16,TargetClass9,Pathway1,0
Type 2 Diabetes,Gene61,Glipizide,SMILES438,SideEffect17,TargetClass19,Pathway11,1
Depression,Gene11,Fluoxetine,SMILES424,SideEffect32,TargetClass17,Pathway11,1
Alzheimer's disease,Gene31,Donepezil,SMILES109,SideEffect35,TargetClass17,Pathway11,1
Type 2 Diabetes,Gene30,Glipizide,SMILES281,SideEffect43,TargetClass19,Pathway8,1
Lung Cancer,Gene46,Remdesivir,SMILES288,SideEffect15,TargetClass12,Pathway1,0
Parkinson's disease,Gene9,Carbidopa,SMILES34,SideEffect36,TargetClass9,Pathway14,1
Type 2 Diabetes,Gene15,Metformin,SMILES257,SideEffect13,TargetClass16,Pathway2,1
Breast Cancer,Gene39,Memantine,SMILES376,SideEffect12,TargetClass13,Pathway9,0
Lung Cancer,Gene76,Gefitinib,SMILES271,SideEffect4,TargetClass7,Pathway11,1
Lung Cancer,Gene96,Erlotinib,SMILES230,SideEffect17,TargetClass2,Pathway7,1
Alzheimer's disease,Gene39,Memantine,SMILES42,SideEffect7,TargetClass13,Pathway2,1
COVID-19,Gene66,Molnupiravir,SMILES252,SideEffect27,TargetClass6,Pathway7,1
Lung Cancer,Gene3,Erlotinib,SMILES486,SideEffect28,TargetClass6,Pathway6,1
Depression,Gene38,Fluoxetine,SMILES182,SideEffect3,TargetClass10,Pathway10,1
COVID-19,Gene87,Remdesivir,SMILES458,SideEffect48,TargetClass1,Pathway6,1
Type 2 Diabetes,Gene37,Metformin,SMILES473,SideEffect30,TargetClass4,Pathway11,1
Alzheimer's disease,Gene98,Levodopa,SMILES202,SideEffect10,TargetClass11,Pathway12,0
Type 2 Diabetes,Gene19,Glipizide,SMILES495,SideEffect25,TargetClass16,Pathway6,1
Parkinson's disease,Gene26,Sertraline,SMILES327,SideEffect10,TargetClass5,Pathway12,0
Parkinson's disease,Gene75,Carbidopa,SMILES491,SideEffect1,TargetClass17,Pathway4,1
Type 2 Diabetes,Gene54,Metformin,SMILES71,SideEffect44,TargetClass3,Pathway9,1
Breast Cancer,Gene2,Tamoxifen,SMILES244,SideEffect41,TargetClass5,Pathway5,1
Alzheimer's disease,Gene61,Memantine,SMILES129,SideEffect6,TargetClass7,Pathway11,1
Alzheimer's disease,Gene3,Donepezil,SMILES437,SideEffect23,TargetClass5,Pathway5,1
COVID-19,Gene10,Remdesivir,SMILES327,SideEffect45,TargetClass1,Pathway1,1
Breast Cancer,Gene28,Memantine,SMILES274,SideEffect26,TargetClass8,Pathway3,0
Breast Cancer,Gene88,Tamoxifen,SMILES177,SideEffect13,TargetClass13,Pathway14,1
Type 2 Diabetes,Gene52,Glipizide,SMILES282,SideEffect34,TargetClass13,Pathway6,1
Depression,Gene82,Tamoxifen,SMILES85,SideEffect49,TargetClass7,Pathway14,0
Type 2 Diabetes,Gene37,Carbidopa,SMILES162,SideEffect36,TargetClass17,Pathway9,0
